setting_id,annual_EIR,cm_coverage,seasonality,rtss_target_group,cm_target_group,pmc_target_group,rtss_mode,rtss_coverage,pmc_coverage,pmc_mode,rtss_booster1_min_age,frac_high_access,demographics_filename,CM_filename,RTSS_filename,PMC_filename
HX21,4,0.2,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX22,4,0.2,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX23,4,0.2,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX24,4,0.4,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX25,4,0.4,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX26,4,0.4,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
HX27,4,0.4,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX28,4,0.4,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX29,4,0.4,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX30,4,0.6,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX31,4,0.6,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX32,4,0.6,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
HX33,4,0.6,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX34,4,0.6,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX35,4,0.6,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX36,16,0.2,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX37,16,0.2,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX38,16,0.2,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
HX39,16,0.2,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX40,16,0.2,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX41,16,0.2,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX42,16,0.4,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX43,16,0.4,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX44,16,0.4,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
HX45,16,0.4,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX46,16,0.4,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX47,16,0.4,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX48,16,0.6,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX49,16,0.6,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX50,16,0.6,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
HX51,16,0.6,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX52,16,0.6,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX53,16,0.6,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX54,32,0.2,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX55,32,0.2,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX56,32,0.2,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
HX57,32,0.2,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX58,32,0.2,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX59,32,0.2,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX60,32,0.4,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX61,32,0.4,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX62,32,0.4,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
HX63,32,0.4,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX64,32,0.4,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX65,32,0.4,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_40coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX66,32,0.6,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX67,32,0.6,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX68,32,0.6,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
HX69,32,0.6,constant,random,random,random,constant,0,0.6,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_60coverage.csv
HX70,32,0.6,constant,random,random,random,constant,0,0.8,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_80coverage.csv
HX71,32,0.6,constant,random,random,random,constant,0,1,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_60coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_100coverage.csv
HX72,64,0.2,constant,random,random,random,constant,0,0,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_0coverage.csv
HX73,64,0.2,constant,random,random,random,constant,0,0.2,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_20coverage.csv
HX74,64,0.2,constant,random,random,random,constant,0,0.4,3tp,730,0,Demographics/generic_demographics_cohort_uncorrelated_IIV.json,CM/CM_constant_20coverage.csv,RTSS/RTSS_constant_0coverage.csv,PMC/PMC_3tp_40coverage.csv
